Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];∅ Anrainer DE/LU[€/MWh];Belgien[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Niederlande[€/MWh];Norwegen 2[€/MWh];Österreich[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Tschechien[€/MWh];DE/AT/LU[€/MWh];Italien (Nord)[€/MWh];Slowenien[€/MWh];Ungarn[€/MWh]
01.01.2022;00:00;50,05;78,44;82,02;50,05;46,6;89,06;124,7;132,89;61,84;59,03;46,6;119,97;50,05;-;170,28;61,84;61,84
01.01.2022;01:00;41,33;69,75;67,07;41,33;41,33;78,48;124,7;129,3;51,44;49,37;41,33;101,54;41,33;-;155,72;51,44;41,33
01.01.2022;02:00;43,22;68,04;75,11;43,22;42,18;85,16;134;132,08;55,91;43,22;42,18;52,13;43,22;-;147,09;55,91;43,22
01.01.2022;03:00;45,46;51,27;50,91;45,46;44,37;50;58,8;111,44;46,94;45,46;44,37;20,78;45,46;-;91;46,94;45,46
01.01.2022;04:00;37,67;42,46;37,67;37,67;37,67;37,67;37,67;112,35;37,67;37,67;37,67;15,66;37,67;-;104;37,67;37,67
01.01.2022;05:00;39,7;44,79;39,7;39,7;39,7;39,7;39,7;113,9;39,7;39,7;39,7;21,47;39,7;-;140,6;39,7;39,7
01.01.2022;06:00;40,59;47,04;40,59;40,59;40,59;40,59;40,59;122,25;40,59;40,59;40,59;29,89;40,59;-;147,09;40,59;40,59
01.01.2022;07:00;43,26;54,84;43,26;43,26;43,26;43,26;43,26;118,58;43,26;43,26;43,26;95,33;43,26;-;99,99;43,26;43,26
01.01.2022;08:00;49,66;60,07;49,66;49,66;49,66;49,66;49,66;118,47;49,66;49,66;49,66;95,36;49,66;-;67,99;49,66;49,66
01.01.2022;09:00;70,05;76,7;70,05;70,05;70,05;70,05;70,05;117,86;70,05;70,05;70,05;95,43;70,05;-;95;70,05;70,05
01.01.2022;10:00;76,79;79,96;76,79;76,79;76,79;76,79;76,79;120,03;76,79;76,79;76,79;68,42;76,79;-;135,8;76,79;76,79
01.01.2022;11:00;84,1;84,99;84,1;84,1;84,1;84,1;84,1;117,07;84,1;84,1;84,1;60,88;84,1;-;150,7;84,1;84,1
01.01.2022;12:00;94,74;94,6;94,74;94,74;94,74;94,74;94,74;117,17;94,74;94,74;94,74;70,72;94,74;-;155,72;94,74;94,74
01.01.2022;13:00;96,8;96,93;96,8;96,8;96,8;96,8;96,8;120,08;96,8;96,8;96,8;74,99;96,8;-;147,09;96,8;96,8
01.01.2022;14:00;97,17;98,78;97,17;97,17;97,17;97,17;97,17;124,54;97,17;97,17;97,17;87,46;97,17;-;100;97,17;97,17
01.01.2022;15:00;101;102,44;95,21;101,27;101,27;98,52;101,27;124,89;101;101;101,27;100,16;101;-;155;101;101
01.01.2022;16:00;126,6;124,37;111,66;126,6;126,6;114,5;126,6;135,59;126,6;126,6;126,6;120,09;126,6;-;169,78;126,6;126,6
01.01.2022;17:00;149,97;149,87;149,97;149,97;149,97;149,97;149,97;149,97;149,97;149,97;149,97;148,89;149,97;-;203,1;149,97;149,97
01.01.2022;18:00;146,33;146,36;146,33;146,33;146,33;146,33;146,33;150,71;146,33;146,33;146,33;142,3;146,33;-;205,83;146,33;146,33
01.01.2022;19:00;140,28;140,37;140,28;140,28;140,28;140,28;140,28;143,81;140,28;140,28;140,28;137,76;140,28;-;214,66;140,28;140,28
01.01.2022;20:00;121,88;124,17;121,88;121,88;121,88;121,88;121,88;140,36;121,88;121,88;121,88;128,55;121,88;-;214,66;121,88;121,88
01.01.2022;21:00;102,61;109,45;102,61;102,61;102,61;102,61;102,61;139,85;102,61;102,61;102,61;140,62;102,61;-;203;102,61;102,61
01.01.2022;22:00;97,46;104,52;97,46;95,12;95,12;97,46;97,46;135,08;97,46;97,46;95,12;144,49;97,46;-;180;97,46;97,46
01.01.2022;23:00;85,16;93,23;85,16;83,11;83,11;85,16;85,16;123,42;85,16;85,16;83,11;141,77;85,16;-;162,44;85,16;85,16
02.01.2022;00:00;57,08;63,99;57,08;57,08;34,73;57,08;57,08;113,56;57,08;89,89;34,73;88,51;57,08;-;148,08;57,08;57,08
02.01.2022;01:00;52,59;59,2;52,59;52,59;34,39;52,59;52,59;111,66;52,59;80,15;34,39;75,04;52,59;-;142,85;52,59;52,59
02.01.2022;02:00;48,97;52,47;48,97;48,97;34,36;48,97;48,97;106,53;48,97;62,75;34,36;45,38;48,97;-;140,6;48,97;48,97
02.01.2022;03:00;34,94;41,9;34,94;34,94;34,1;34,94;34,94;104,5;34,94;54,87;34,1;23,7;34,94;-;100;34,94;34,94
02.01.2022;04:00;29,56;36,99;29,56;29,56;29,56;29,56;29,56;104,06;29,56;50,5;29,56;15,84;29,56;-;140,6;29,56;29,56
02.01.2022;05:00;33,97;41,14;33,97;33,97;33,97;33,97;33,97;105,86;33,97;50,89;33,97;23,98;33,97;-;141,93;33,97;33,97
02.01.2022;06:00;34,52;43,65;34,52;34,52;34,52;34,52;34,52;111,97;34,52;56,15;34,52;35,88;34,52;-;147,09;34,52;34,52
02.01.2022;07:00;41,8;49,96;41,8;41,8;41,8;41,8;41,8;105,22;41,8;60,91;41,8;49;41,8;-;152,61;41,8;41,8
02.01.2022;08:00;48,95;58,52;48,95;48,95;48,95;48,95;48,95;111,53;48,95;65,54;48,95;75,05;48,95;-;152,59;48,95;48,95
02.01.2022;09:00;60,01;69,83;60,01;60,01;60,01;60,01;60,01;115,81;60,01;86,18;60,01;86,01;60,01;-;155,72;60,01;60,01
02.01.2022;10:00;70,09;77,12;70,09;70,09;70,09;70,09;70,09;121,94;70,09;89,71;70,09;75,92;70,09;-;167,98;70,09;70,09
02.01.2022;11:00;66,26;73,86;66,26;66,26;66,26;66,26;66,26;121,3;66,26;91,12;66,26;69,91;66,26;-;175,08;66,26;66,26
02.01.2022;12:00;64,54;72,29;64,54;64,54;64,54;64,54;64,54;112,43;64,54;91,4;64,54;75,04;64,54;-;189,58;64,54;64,54
02.01.2022;13:00;46,96;57,02;46,96;46,96;46,96;46,96;46,96;111,39;46,96;91,44;46,96;48,76;46,96;-;169,69;46,96;73,77
02.01.2022;14:00;40,01;60,41;41,95;49,06;49,06;40,01;49,06;111,48;65,19;86,25;49,06;58,25;65,19;-;155,72;65,19;133,97
02.01.2022;15:00;29,11;74,02;48,31;74,99;74,99;39,3;74,99;118,19;60,07;81,09;74,99;86,25;81,09;-;167,75;60,07;157,92
02.01.2022;16:00;32,76;83,76;51,91;88,15;88,15;40,79;85;122,3;88,46;88,46;88,15;91,51;88,46;-;194,21;88,46;194,21
02.01.2022;17:00;42,97;93,85;56,04;95,4;95,4;47,91;100;129,79;95,4;95,4;95,4;126,25;95,4;-;245;95,4;245
02.01.2022;18:00;60,96;93,41;69,32;87,84;86,71;65,09;109,9;135,97;86,71;86,71;86,71;125,88;86,71;-;225,19;86,71;225,19
